Customer id,Gender,Age,Payment method
C00001,M,16,Credit Card
C00002,F,30,Credit Card
C00003,M,47,Mobile Payment
C00004,F,44,Credit Card
C00005,M,60,Cash
C00006,M,45,Mobile Payment
C00007,M,52,Mobile Payment
C00008,M,35,Mobile Payment
C00009,M,55,Mobile Payment
C00010,M,68,Credit Card
C00011,F,73,Mobile Payment
C00012,F,19,Cash
C00013,M,63,Credit Card
C00014,M,30,Cash
C00015,F,52,Credit Card
C00016,F,35,Credit Card
C00017,F,31,Credit Card
C00018,M,31,Mobile Payment
C00019,F,26,Mobile Payment
C00020,M,46,Cash
C00021,F,17,Mobile Payment
C00022,F,40,Mobile Payment
C00023,M,67,Cash
C00024,F,73,Cash
C00025,F,20,Cash
C00026,F,59,Cash
C00027,F,32,Credit Card
C00028,F,70,Cash
C00029,F,47,Cash
C00030,M,29,Credit Card
C00031,M,75,Mobile Payment
C00032,M,44,Cash
C00033,M,27,Cash
C00034,M,77,Mobile Payment
C00035,M,55,Cash
C00036,F,32,Mobile Payment
C00037,M,43,Mobile Payment
C00038,M,40,Credit Card
C00039,M,21,Credit Card
C00040,M,76,Cash
C00041,M,29,Credit Card
C00042,F,52,Cash
C00043,M,21,Mobile Payment
C00044,M,72,Cash
C00045,M,44,Credit Card
C00046,M,18,Mobile Payment
C00047,M,51,Credit Card
C00048,F,16,Cash
C00049,M,75,Credit Card
C00050,F,59,Credit Card
C00051,F,47,Credit Card
C00052,M,20,Credit Card
C00053,M,72,Mobile Payment
C00054,F,76,Mobile Payment
C00055,F,50,Cash
C00056,M,34,Cash
C00057,F,55,Mobile Payment
C00058,F,56,Mobile Payment
C00059,F,21,Mobile Payment
C00060,F,46,Credit Card
C00061,F,42,Cash
C00062,M,24,Mobile Payment
C00063,M,69,Cash
C00064,F,56,Mobile Payment
C00065,F,32,Credit Card
C00066,M,27,Cash
C00067,F,59,Cash
C00068,M,69,Mobile Payment
C00069,F,43,Cash
C00070,F,26,Mobile Payment
C00071,M,31,Cash
C00072,F,59,Mobile Payment
C00073,F,73,Mobile Payment
C00074,F,18,Cash
C00075,M,30,Credit Card
C00076,F,53,Mobile Payment
C00077,M,38,Credit Card
C00078,M,58,Credit Card
C00079,M,51,Credit Card
C00080,F,59,Cash
C00081,F,50,Credit Card
C00082,F,16,Credit Card
