Invoice no,Customer id,Product id list,Invoice date,Shopping mall
INV00001,C01389,P00391,09/08/2025,MK
INV00002,C01487,"P00237,P00459,P00244",23/09/2025,MK
INV00003,C01265,P00031,24/12/2024,ST
INV00004,C00879,"P00153,P00242,P00147,P00029",29/06/2025,MK
INV00005,C00296,"P00284,P00293",03/08/2024,MK
INV00006,C00901,"P00383,P00480,P00270,P00216,P00488,P00319",25/04/2024,CYB
INV00007,C00641,"P00070,P00472",10/08/2024,CYB
INV00008,C00087,"P00029,P00381,P00176,P00534,P00349",31/05/2025,MK
INV00009,C01464,P00493,10/08/2024,MK
INV00010,C00955,P00200,05/06/2024,MK
INV00011,C01307,"P00013,P00385,P00129,P00312",06/04/2024,ST
INV00012,C00630,"P00501,P00350,P00177",31/05/2025,ST
INV00013,C01475,P00368,20/10/2025,MK
INV00014,C00118,"P00383,P00480,P00270,P00216,P00520",22/11/2025,CYB
INV00015,C00805,"P00305,P00105",25/11/2024,CYB
INV00016,C00891,"P00344,P00511",11/10/2024,ST
INV00017,C00211,"P00383,P00480,P00270,P00216,P00362",04/08/2024,MK
INV00018,C00221,P00020,27/12/2025,TKO
INV00019,C00523,"P00514,P00094,P00474,P00277",28/11/2024,ST
INV00020,C00072,"P00535,P00214,P00524,P00278",02/04/2025,ST
INV00021,C01294,"P00211,P00109,P00481,P00297",16/06/2025,MK
INV00022,C00990,"P00505,P00245,P00259,P00458,P00367",18/08/2025,ST
INV00023,C00868,"P00151,P00187,P00257",24/12/2024,ST
INV00024,C00676,"P00443,P00129",14/12/2024,CYB
INV00025,C00177,"P00383,P00480,P00270,P00216",10/02/2024,ST
INV00026,C00742,"P00288,P00085,P00482,P00207,P00397",10/09/2024,MK
INV00027,C01206,"P00383,P00480,P00270,P00216,P00346",10/09/2024,TKO
INV00028,C00391,"P00086,P00297,P00416,P00119",12/03/2025,MK
INV00029,C00523,"P00471,P00120",27/09/2025,CYB
INV00030,C01003,"P00383,P00480,P00270,P00216",02/06/2024,ST
INV00031,C00877,"P00383,P00480,P00270,P00216,P00153,P00290",07/07/2024,CYB
INV00032,C00878,"P00103,P00028,P00378,P00431,P00237",30/05/2025,CYB
INV00033,C00367,"P00375,P00195,P00206,P00540",03/12/2025,TKO
INV00034,C00269,P00361,05/12/2025,MK
INV00035,C00899,"P00181,P00082,P00248,P00078",19/06/2024,MK
INV00036,C01355,"P00307,P00294,P00188,P00020,P00387",08/07/2025,CYB
INV00037,C00883,"P00446,P00295",21/05/2025,TKO
INV00038,C01371,"P00531,P00074,P00509,P00297,P00410",18/02/2024,ST
INV00039,C00066,"P00383,P00480,P00270,P00216",10/08/2024,CYB
INV00040,C00878,"P00147,P00219,P00003",22/12/2024,MK
INV00041,C00590,"P00205,P00143,P00077",19/11/2024,MK
INV00042,C00988,"P00038,P00327,P00226,P00496,P00100",04/07/2024,TKO
INV00043,C00601,"P00383,P00480,P00270,P00216,P00309",10/04/2025,MK
