Invoice no,Customer id,Invoice date,Shopping mall,Product id,Category,Price,Gender,Age,Payment method
INV00001,C01389,2025-08-09,MK,P00391,Groceries,107.08,M,50,Credit Card
INV00002,C01487,2025-09-23,MK,P00237,Groceries,130.02,M,58,Cash
INV00002,C01487,2025-09-23,MK,P00459,Books,132.34,M,58,Cash
INV00002,C01487,2025-09-23,MK,P00244,Clothing,502.8,M,58,Cash
INV00003,C01265,2024-12-24,ST,P00031,Toys,37.52,F,61,Mobile Payment
INV00004,C00879,2025-06-29,MK,P00153,Books,124.59,F,74,Credit Card
INV00004,C00879,2025-06-29,MK,P00242,Groceries,155.43,F,74,Credit Card
INV00004,C00879,2025-06-29,MK,P00147,Electronics,3017.57,F,74,Credit Card
INV00004,C00879,2025-06-29,MK,P00029,Electronics,1860.49,F,74,Credit Card
INV00005,C00296,2024-08-03,MK,P00284,Toys,35.88,F,56,Credit Card
INV00005,C00296,2024-08-03,MK,P00293,Toys,29.21,F,56,Credit Card
INV00006,C00901,2024-04-25,CYB,P00383,Groceries,87.52,F,22,Mobile Payment
INV00006,C00901,2024-04-25,CYB,P00480,Groceries,74.67,F,22,Mobile Payment
INV00006,C00901,2024-04-25,CYB,P00270,Groceries,83.92,F,22,Mobile Payment
INV00006,C00901,2024-04-25,CYB,P00216,Groceries,133.4,F,22,Mobile Payment
INV00006,C00901,2024-04-25,CYB,P00488,Books,78.59,F,22,Mobile Payment
INV00006,C00901,2024-04-25,CYB,P00319,Toys,80.91,F,22,Mobile Payment
INV00007,C00641,2024-08-10,CYB,P00070,Toys,34.44,M,19,Mobile Payment
INV00007,C00641,2024-08-10,CYB,P00472,Books,59.74,M,19,Mobile Payment
INV00008,C00087,2025-05-31,MK,P00029,Electronics,1860.49,M,69,Cash
INV00008,C00087,2025-05-31,MK,P00381,Books,70.77,M,69,Cash
INV00008,C00087,2025-05-31,MK,P00176,Electronics,2504.75,M,69,Cash
INV00008,C00087,2025-05-31,MK,P00534,Clothing,549.37,M,69,Cash
INV00008,C00087,2025-05-31,MK,P00349,Groceries,171.84,M,69,Cash
INV00009,C01464,2024-08-10,MK,P00493,Books,92.52,M,40,Credit Card
INV00010,C00955,2024-06-05,MK,P00200,Books,67.33,M,22,Mobile Payment
INV00011,C01307,2024-04-06,ST,P00013,Books,68.85,M,77,Credit Card
INV00011,C01307,2024-04-06,ST,P00385,Clothing,288.16,M,77,Credit Card
INV00011,C01307,2024-04-06,ST,P00129,Toys,34.02,M,77,Credit Card
INV00011,C01307,2024-04-06,ST,P00312,Books,140.83,M,77,Credit Card
INV00012,C00630,2025-05-31,ST,P00501,Groceries,116.41,M,37,Cash
INV00012,C00630,2025-05-31,ST,P00350,Books,114.94,M,37,Cash
INV00012,C00630,2025-05-31,ST,P00177,Electronics,2774.67,M,37,Cash
INV00013,C01475,2025-10-20,MK,P00368,Groceries,124.69,M,37,Mobile Payment
INV00014,C00118,2025-11-22,CYB,P00383,Groceries,87.52,M,32,Mobile Payment
INV00014,C00118,2025-11-22,CYB,P00480,Groceries,74.67,M,32,Mobile Payment
INV00014,C00118,2025-11-22,CYB,P00270,Groceries,83.92,M,32,Mobile Payment
INV00014,C00118,2025-11-22,CYB,P00216,Groceries,133.4,M,32,Mobile Payment
INV00014,C00118,2025-11-22,CYB,P00520,Clothing,189.13,M,32,Mobile Payment
INV00015,C00805,2024-11-25,CYB,P00305,Toys,26.66,M,53,Credit Card
INV00015,C00805,2024-11-25,CYB,P00105,Electronics,1571.19,M,53,Credit Card
INV00016,C00891,2024-10-11,ST,P00344,Toys,54.02,F,53,Cash
INV00016,C00891,2024-10-11,ST,P00511,Electronics,4130.99,F,53,Cash
INV00017,C00211,2024-08-04,MK,P00383,Groceries,87.52,M,59,Mobile Payment
